level_name,num_triplets,complete_accuracy,partial_accuracy,roc_auc,mean_same_scene_similarity,mean_diff_scene_similarity_a_n,mean_diff_scene_similarity_p_n,mean_delta_ap_an,mean_delta_ap_pn,avg_same_diff_delta,t_statistic_ap_an,p_value_ap_an,cohens_d_ap_an,t_statistic_ap_pn,p_value_ap_pn,cohens_d_ap_pn,model,layer_depth
features,300,0.67,0.79,0.7326999999999999,0.9716518773635229,0.9558702309926351,0.9558387670914332,0.015781646370887758,0.01581311027208964,0.015797378321488698,9.718227768679819,1.402795954484875e-19,0.5620196210861723,10.518591090909208,3.182287495923575e-22,0.6083058267719277,ViT-L-14-quickgelu_dfn2b,0
features,300,0.5433333333333333,0.72,0.6916833333333334,0.9334239733219146,0.9131278554598491,0.9163643127679825,0.020296117862065633,0.01705966055393219,0.018677889207998913,9.149798045683474,9.142660927039329e-18,0.5291464820498731,7.809215936678602,9.79484595019736e-14,0.45161861711743123,ViT-L-14-quickgelu_metaclip_400m,0
features,300,0.69,0.7933333333333333,0.7456944444444444,0.9841667807102203,0.9761068405707677,0.976472576657931,0.008059940139452616,0.007694204052289327,0.007877072095870971,10.430620518057925,6.282040367986893e-22,0.6032183550120546,10.28715086228901,1.8940706750792375e-21,0.5949212905051384,ViT-L-14-quickgelu_metaclip_fullcc,0
features,300,0.6333333333333333,0.7533333333333333,0.7222833333333334,0.9662125263611475,0.9530626251300176,0.952705667813619,0.013149901231129964,0.013506858547528585,0.013328379889329275,10.405263058854972,7.638922427985967e-22,0.601751897043581,10.956167959037469,1.0416066452612619e-23,0.633611549811851,ViT-L-14-quickgelu_openai,0
features,300,0.61,0.75,0.727061111111111,0.97744291305542,0.9668040961027146,0.9669164089361827,0.010638816952705384,0.010526504119237263,0.010582660535971324,9.816563947814027,6.722545666344008e-20,0.5677065481328466,10.613900351327224,1.5188078203550959e-22,0.6138177023781541,ViT-L-14_commonpool_xl_clip_s13b_b90k,0
features,300,0.6533333333333333,0.7566666666666667,0.7288833333333333,0.9814680814743042,0.9724970090389252,0.9725185392300287,0.008971072435379028,0.00894954224427541,0.00896030733982722,10.755485187066014,5.034757429505454e-23,0.6220057641095462,11.046269273542165,5.11428881779043e-24,0.6388222417809897,ViT-L-14_commonpool_xl_laion_s13b_b90k,0
features,300,0.5266666666666666,0.66,0.6445500000000001,0.984573965271314,0.9804497243960698,0.9806272011995315,0.0041242408752441406,0.00394676407178243,0.004035502473513286,7.197608130742371,4.971958011305021e-12,0.416248421443911,7.3044440403344355,2.5420673670853016e-12,0.4224269013024358,ViT-L-14_commonpool_xl_s13b_b90k,0
features,300,0.63,0.7533333333333333,0.7238666666666667,0.9788776840766271,0.9683683693408967,0.9683761674165726,0.01050931473573049,0.010501516660054526,0.010505415697892507,10.51532268988882,3.263869560239659e-22,0.6081168090817706,10.601703878045397,1.669865310866185e-22,0.6131123621162575,ViT-L-14_datacomp_xl_s13b_b90k,0
features,300,0.6333333333333333,0.76,0.7185388888888888,0.9680351259311041,0.9531196361780166,0.9533020917574565,0.014915489753087362,0.014733034173647562,0.014824261963367462,10.046752581372472,1.184675464964397e-20,0.581018701294504,10.756532062671573,4.99370426744377e-23,0.6220663081751364,ViT-L-14_dfn2b,0
features,300,0.6766666666666666,0.78,0.7413166666666666,0.9669206941127777,0.9507907702525457,0.9510275224844614,0.016129923860232036,0.015893171628316244,0.01601154774427414,10.738636601782837,5.743608020582883e-23,0.6210313871859381,11.024137749726226,6.092003464584997e-24,0.6375423447144862,ViT-L-14_dfn2b_s39b,0
